oekobaudatName,oekobaudatUuid____448d1096-2017-4901-a560-f652a83c737e____2020-II,oekobaudatUuid____22885a6e-1765-4ade-a35e-ae668bd07256____2023-I,oekobaudatUuid____XXXXXXXXXXXX____2024-I,tBaustoffName,eolCategoryName,eolScenarioReal,eolScenarioPotential,technologyFactor
EPS-Hartschaumdämmung,nicht vorhanden,0759d305-3ddd-4209-b25e-33ea9e440d90,121c71e8-0f4c-4529-b72e-331198d15f0f,EPS-Hartschaumdämmung - Sz. RC als Schütt.,EPS - Sz. RC als Schütt.,EV-,SV,0.75
EVA-Dachbahnen,nicht vorhanden,60203e0a-cd90-4ff9-8ec7-da3a1b0b1588,d1ab548a-3626-4667-9690-baff659e10d5,EVA-Dachbahnen,KSTBahn,EV-,EV-,0
Expandierte Perlit-Dämmplatten für den Innenbereich,nicht vorhanden,7b26b760-0cc0-48b1-8c61-9357cd2b7ba3,5d087386-ed6b-4786-b37b-87164384927b,Expandierte Perlit-Dämmplatten für den Innenbereich,Mineralplatte,Dep+,SV,0.75
Expandierter Kork,b50fa992-e435-455a-8dfe-82254e9f4f48,c1d62b9b-d4bb-4220-b5b5-d078d527f457,fdbe82c6-7073-4f8c-a540-c37a6bf16cd6,Expandierter Kork,Kork,EV-,RC+,0.75
Extrudierter Polystyrol Dämmstoff (XPS),43e99b8c-90d8-4fcd-90ce-342fb0b7366e,37f50a3e-5445-4bce-8eda-98f01dba441f,c4ddfdbc-ee2b-4dd5-a754-b317cf06470a,XPS-Dämmstoff,XPS,EV-,RC+,0.25
Fahrstuhl - Grundkomponenten (stockwerkunabhängig),nicht vorhanden,b7dbc0bc-ac9d-4d3e-83bf-f96b3ed5eeea,c583414f-e4a8-440e-a01f-cf2f31a2d7b2,Fahrstuhl - Grundkomponenten (stockwerkunabhängig),nicht eingestuft,n.e.,n.e.,n.e.
Fahrstuhl - Komponenten (stockwerkabhängig),nicht vorhanden,11e6b53d-0d72-4d04-875d-2fc11e3e63a5,ed2d739a-67e4-4d37-89b4-6b91ab57651c,Fahrstuhl - Komponenten (stockwerkabhängig),nicht eingestuft,n.e.,n.e.,n.e.
Fahrtreppe - Grundkomponenten (unabhängig von der Förderhöhe),nicht vorhanden,2f4fd218-4f75-4657-aed8-b6f13e83dfc5,a81cb40d-1453-4670-a247-6a368ac63556,Fahrtreppe - Grundkomponenten (unabhängig von der Förderhöhe),nicht eingestuft,n.e.,n.e.,n.e.
Fahrtreppe - Komponenten (förderhöhenabhängig),nicht vorhanden,7ab14975-7e67-4226-9f08-c63448e6b70a,bc3826fe-b0e7-49f4-a037-24da26c3705b,Fahrtreppe - Komponenten (förderhöhenabhängig),nicht eingestuft,n.e.,n.e.,n.e.
Faserverstärkte Spachtelmasse,nicht vorhanden,0478ac14-93bf-4c84-80a3-2c1e6e128496,c5151e24-55fa-4748-862f-855ab913470f,Faserverstärkte Spachtelmasse,faserverstärkt,Dep-,Dep-,0
Faserzementplatte (Fassade),e24f9f47-8580-45c2-b16d-45145d65a813,26a2ed2d-fef5-4f8e-93db-63ad5b865f66,161e1abd-fe38-45f6-8658-8bf4fa88eb7c,Faserzementplatte,Faserzement,Dep-,Dep-,0
Fassadenfarbe Dispersionsfarbe,fcf6494c-aad2-4180-b1a2-392cc954ae52,539f5cd0-4e0a-4aae-87eb-e018dbebea4d,8c5e949d-1b5e-4dc6-b6ae-bfc8e6c863ce,Fassadenfarbe Dispersionsfarbe,"Farben, sonstige Beschichtungen (mineral. Untergrund)",Dep-,Dep-,0
Fassadenfarbe Silikat-Dispersionsfarbe,02f2750e-eec2-492a-9f05-b9600593b6c5,656568b3-6a42-4a6e-917d-4ddcc3dca17b,20043853-b153-484a-80c4-dd1bf1cb76e3,Fassadenfarbe Silikat-Dispersionsfarbe,"Farben, sonstige Beschichtungen (mineral. Untergrund)",Dep-,Dep-,0
Fassadenfarbe Silikonharzfarbe,815fb8f6-04cc-494d-ab6b-1b6eae98bfca,b923c64c-2da3-4f0c-ada3-5d1eeb884880,b974b2f9-967e-4356-80ae-d7feeb4f0d46,Fassadenfarbe Silikonharzfarbe,"Farben, sonstige Beschichtungen (mineral. Untergrund)",Dep-,Dep-,0
Fassadenfarbe Voranstrich Dispersion,948f8f68-f1f2-42f6-8350-6e27d6e80c7c,f830ac7f-04a0-46e0-a5ed-1b66a09555f5,849af6c4-050a-4119-9bb4-9dd64a7a86fc,Fassadenfarbe Voranstrich Dispersion,"Farben, sonstige Beschichtungen (mineral. Untergrund)",Dep-,Dep-,0
Fassadenfarbe Voranstrich Silikat-Dispersion,0b488798-140f-4efa-96e2-55aa46ed129a,e6a19775-cdd4-40a5-a3bc-8d567c1cd4cc,b1964649-fd26-49d3-9aca-464fe807f2b2,Fassadenfarbe Voranstrich Silikat-Dispersion,"Farben, sonstige Beschichtungen (mineral. Untergrund)",Dep-,Dep-,0
Fassadenklinker,d311ba82-a703-4865-b5e3-f704e5b88712,5dddc87c-6b72-4801-b822-4301138c99ce,1a365e34-0b95-4c5c-973d-11a038eb7414,Fassadenklinker,Keramik - Fassade,RC+,RC+,1
Fenster-Beschlag für Doppelflügelfenster,4bf26663-9018-47a1-943d-8ed4d3f87d0f,69c60c09-e729-4327-b0fd-2b778c6942c5,93b2e57a-cb78-49e4-8f95-152863f992cc,Fenster-Beschlag für Doppelflügelfenster,nicht eingestuft,n.e.,n.e.,n.e.
Fenster-Beschlag für Drehkippfenster (Aluminium),b1efabb9-6371-4b96-9ee2-d1f11f9f3b25,8dc96f29-ec8d-43ba-ba08-a2362003078a,b30999ac-b5a1-4ccd-bfcf-b9310b458db6,Fenster-Beschlag für Drehkippfenster (Aluminium),nicht eingestuft,n.e.,n.e.,n.e.
Fenster-Beschlag für horizontales Schiebefenster,00c28f1f-1d49-4c81-9208-138922a1dd6c,640ca097-4329-47d0-a762-7ed858239c3a,789daaf4-7ef9-473d-87d0-75ae66481c65,Fenster-Beschlag für horizontales Schiebefenster,nicht eingestuft,n.e.,n.e.,n.e.
Fenster-Beschlag für vertikales Schiebefenster,72c69944-5250-4269-ad34-2e20e5e38231,67331443-825b-4e74-87bb-27d5a55dd159,ee51a65b-991f-453f-bfbc-4d45fcbafe17,Fenster-Beschlag für vertikales Schiebefenster,nicht eingestuft,n.e.,n.e.,n.e.
Fensterglas einfach,1490b480-2c36-43f2-ba8b-4ea49948f7c3,3598f7e3-1be1-4a05-9d2e-f41ad4623ced,dcf38066-e336-46a7-b0a8-b2453dd2872d,Fensterglas einfach,Klarglas (Bestand),RC-,RC+,0.5
Fenstergriff,38ddefe2-e01c-4ece-9952-a353b7dfb246,96fd0760-5c7a-4ab6-a29a-050b68fc9c69,346fdda1-e570-45fc-aad2-37653c467db5,Fenstergriff,nicht eingestuft,n.e.,n.e.,n.e.
Feuerverzinktes Stahlblech,50c9e674-afd9-456c-9440-6506bec6d55b,9812f03c-2a15-40bf-9c10-05f6924a420f,717f4a1c-0df0-49e6-8169-528b50b01e56,Feuerverzinktes Stahlblech,Stahl - Stahl(blech) verzinkt,CL-,CL-,1
Flachsvlies,af13e5a8-0961-454a-ad3a-7093a37fc802,1edb805d-08dc-461e-8195-05a9865470d0,b7b7c6be-122f-48d9-b1c2-9b81a6b7e95c,Flachsvlies (mit Flammschutzmittel),"DS Pflanzenfaser mit Zusatzstoffen (FSM, Bindemittel)",EV-,EV-,0
Fliesenkleber,78b7cd15-d82a-4ffa-ae08-870b6e5d35d4,b3581465-212c-4c61-ad7c-229c16975650,8a115164-6717-4aec-84b1-f79b0b1a947b,Fliesenkleber,"organ. Putz (Fliesenkleber Störstoff, Masse Einstuf. ident zu organ. Putz)",Dep-,Dep-,0
"Fliesenkleber, dispersionsbasiert",nicht vorhanden,bc0f8673-222f-4510-8cc5-08f0646a545b,5908f568-29cd-4387-9816-d3cb1b2cc577,"Fliesenkleber, dispersionsbasiert","Kleber (nicht-mineralisch: Kunstharzkleber,…)",EV-,EV-,0
"Flüssiggastank 2700 l/1,2 t (oberirdisch)",nicht vorhanden,2dce11cf-7975-4215-8d0c-2d7760595853,9989f74b-c0c4-459d-972b-d9068974c012,"Flüssiggastank 2700 l/1,2 t (oberirdisch)",nicht eingestuft,n.e.,n.e.,n.e.
"Flüssiggastank 2700 l/1,2 t (unterirdisch)",nicht vorhanden,2424aa0d-0a25-447e-9d2b-a9903a9956fa,cc75592c-6f69-4db2-9e82-f264ac01a62b,"Flüssiggastank 2700 l/1,2 t (unterirdisch)",nicht eingestuft,n.e.,n.e.,n.e.
"Flüssiggastank 4850 l/2,1 t (unterirdisch)",nicht vorhanden,eba7908d-7cd5-48f8-a707-91954f68ec80,280f657e-7ea6-45da-aeb7-7f04d9397360,"Flüssiggastank 4850 l/2,1 t (unterirdisch)",nicht eingestuft,n.e.,n.e.,n.e.
"Flüssiggastank 4850 l/2,1t (oberirdisch)",nicht vorhanden,58b82b81-40bd-4c25-b8f2-c14dab8619da,240c3d60-815c-46e9-8ad5-1a96f17e001b,"Flüssiggastank 4850 l/2,1t (oberirdisch)",nicht eingestuft,n.e.,n.e.,n.e.
"Flüssiggastank 6400 l/2,9 t (oberirdisch)",nicht vorhanden,90131f95-e18b-4d64-99dd-efbdecba1d6e,61d6ff55-d5e6-4d38-bc57-3a003f7af0cf,"Flüssiggastank 6400 l/2,9 t (oberirdisch)",nicht eingestuft,n.e.,n.e.,n.e.
"Flüssiggastank 6400 l/2,9 t (unterirdisch)",nicht vorhanden,c28a0d9c-8582-4a4e-b848-9f194a52317c,b8a54471-8347-4824-b272-1e6875c052d0,"Flüssiggastank 6400 l/2,9 t (unterirdisch)",nicht eingestuft,n.e.,n.e.,n.e.
,,,,Kunststoffrahmen PVC mit Aludeckschale [kg/m² Rahmen],PVC hart,SV,SV,0
Flügelrahmen PVC-U,nicht vorhanden,4ca023d1-2eda-43ab-9c55-481a6d250d9b,73de9e80-8ed2-47d8-b5b6-854c84166f24,Kunststofftrahmen PVC [kg/m² Rahmen],PVC hart,SV,SV,0
Flüssigkunststoffe zur Bauwerksabdichtung auf SMP-Basis,nicht vorhanden,8d95efa8-e37d-4958-84a1-b9a920818e92,2676fb36-11ba-495a-90bd-fa914d6e949f,Flüssigkunststoffe zur Bauwerksabdichtung auf SMP-Basis,"Farben, sonstige Beschichtungen (mineral. Untergrund)",Dep+,Dep+,0
Folie aus Polytetrafluorethylen (PTFE),f281ecaf-5754-4d27-8d70-cfd18780b192,2014a394-f4e5-47dd-9e8a-ee2628bd73f3,7bb20bbf-173c-4d5b-9638-177ff4014789,Folie aus Polytetrafluorethylen PTFE,KSTBahn (Halog),EB,EB,0
Folie für Gründach,8a37ac61-585c-43a8-9773-10fce30096e4,4c569188-c899-44da-8843-523c2c741efe,a0978051-8b63-44ea-973c-cc9340887458,Folie für Gründach,KSTBahn (Halog),EB,EB,0
Fugendichtungsbänder Butyl,b060ccb6-2e27-456e-87c4-0b5d4453d917,0362ebd3-9df6-473d-8a66-dccec38bf361,47030048-dc2f-4ef0-b505-89771807b761,Fugendichtungsbänder Butyl,nicht eingestuft,n.e.,n.e.,n.e.
Fugendichtungsbänder Gewebebänder,1b50fee4-e5e3-41a0-9741-ab81fb4297d6,1c56ee59-c832-42fb-bf86-ad86adcd1666,fd38cced-233c-4d2f-8a16-015f6e364c8b,Fugendichtungsbänder Gewebebänder,nicht eingestuft,n.e.,n.e.,n.e.
Fugendichtungsbänder PE/PP-Folie,aadadf2a-2896-4681-bc4c-61ea4616f801,a122b12f-ae8c-4806-b78c-ba5389bbd52f,bacaced7-4299-45f0-93e0-fba6bd3b3e67,Fugendichtungsbänder PE/PP-Folie,nicht eingestuft,n.e.,n.e.,n.e.
Fugendichtungsbänder Polyisobutylen,98e0caab-5f0b-452f-a3d2-4e0256a799f3,f5c5632d-8a1e-47a7-b084-fd9fec790e68,24f91cc9-f588-4782-b553-8e39f310afc7,Fugendichtungsbänder Polyisobutylen,nicht eingestuft,n.e.,n.e.,n.e.
Fünf-Schichtholzplatte (generisch),74a7b85a-c028-4cf1-987e-7dfddcb9033b,832aabab-e539-4356-b06a-2d2b70b7b109,3489c0eb-415f-4dc8-8c2d-b276f6efebc6,Fünf-Schichtholzplatte,Holzwerkstoff - nicht beschichtet,RC+,RC+,1
Furnierschichtholz (generisch),b50f7b36-d9aa-40c5-b839-4925a1500952,6931f21e-27bd-4eb4-b80a-f1eab2817ee0,27f4902c-8a26-4a87-b723-f4a650350781,Furnierschichtholz (Laminated Veneer Lumber),Holzwerkstoff - nicht beschichtet,RC+,RC+,1
Fußbodenheizung Kupfer (100 mm Abstand),nicht vorhanden,f55e9321-9133-4259-8abe-fe9cd8ae9171,6c0ae55f-18da-4015-989e-dc3b394022e5,Fußbodenheizung Kupfer (100 mm Abstand),nicht eingestuft,n.e.,n.e.,n.e.
Fußbodenheizung Kupfer (200 mm Abstand),nicht vorhanden,1a068fac-fca7-4891-8891-4511e1711b4c,58ea368c-24fa-4cf3-9f08-f140a2be6a72,Fußbodenheizung Kupfer (200 mm Abstand),nicht eingestuft,n.e.,n.e.,n.e.
Fußbodenheizung PEX (100 mm Abstand),nicht vorhanden,87860f4c-ffd2-4fd9-a381-04b3975c28ae,e787b7b8-6846-4d3f-b72b-d587e6833613,Fußbodenheizung PEX (100 mm Abstand),nicht eingestuft,n.e.,n.e.,n.e.
Fußbodenheizung PEX (200 mm Abstand),nicht vorhanden,03c47c52-3265-49d9-8804-6c447031ce73,ce17aa80-9649-47ae-abd8-eb45488e4af7,Fußbodenheizung PEX (200 mm Abstand),nicht eingestuft,n.e.,n.e.,n.e.
Fußbodenheizung PP (100 mm Abstand),nicht vorhanden,979226f9-7902-47c6-8cee-5a94ba63185a,36b822fe-af51-4742-a94e-4159791a9f32,Fußbodenheizung PP (100 mm Abstand),nicht eingestuft,n.e.,n.e.,n.e.
Fußbodenheizung PP (200 mm Abstand),nicht vorhanden,6e50c70d-3339-4118-b5be-4f27d5bca333,f4aa8b0b-1b30-4621-9af8-ace815d8ee48,Fußbodenheizung PP (200 mm Abstand),nicht eingestuft,n.e.,n.e.,n.e.
Gas Blockheizkraftwerk (500 kW),nicht vorhanden,5b90a086-26c7-41dc-82fa-3b04fe7e36c2,98471e41-8d40-4f09-8b08-af2a8489f6cf,Gas Blockheizkraftwerk (500 kW),nicht eingestuft,n.e.,n.e.,n.e.
Gas-Brennwertgerät < 20 kW (Standgerät),nicht vorhanden,230a51a2-2892-414f-9357-49e1df9fb9d0,e3eca408-0e59-4bec-aecb-0af7bb5454bc,Gas-Brennwertgerät < 20 kW (Standgerät),nicht eingestuft,n.e.,n.e.,n.e.
Gas-Brennwertgerät < 20 kW (Wandgerät),nicht vorhanden,cc25ba78-0036-49ab-8e55-10bdde0317bd,4691706a-aed0-4463-aa29-fa517dd807ae,Gas-Brennwertgerät < 20 kW (Wandgerät),nicht eingestuft,n.e.,n.e.,n.e.
Gas-Brennwertgerät 120-400 kW (Standgerät),nicht vorhanden,2099e104-ce43-4c05-a923-a7a8b044dd6f,fe91b985-60da-45dc-b3fd-29b9e632d49f,Gas-Brennwertgerät 120-400 kW (Standgerät),nicht eingestuft,n.e.,n.e.,n.e.
Gas-Brennwertgerät 20-120 kW (Standgerät),nicht vorhanden,0b82bbb7-4048-4da5-830c-e040e9f3a929,ce333ecb-6cad-441c-9dae-70966acf9333,Gas-Brennwertgerät 20-120 kW (Standgerät),nicht eingestuft,n.e.,n.e.,n.e.
Gas-Niedertemperaturgerät < 20 kW (Standgerät),nicht vorhanden,70652929-4cec-4671-a726-1bde18f5c3a5,264c7b26-07cf-4c16-bad7-5d4bb4c3958f,Gas-Niedertemperaturgerät < 20 kW (Standgerät),nicht eingestuft,n.e.,n.e.,n.e.
Gas-Niedertemperaturgerät 120-400 kW (Standgerät),nicht vorhanden,f9043619-1d1a-4af1-a42d-8bff43c7cd9c,a4a7ea2e-0b5e-4bae-a458-3baad826211b,Gas-Niedertemperaturgerät 120-400 kW (Standgerät),nicht eingestuft,n.e.,n.e.,n.e.
Gas-Niedertemperaturgerät 20-120 kW (Standgerät),nicht vorhanden,d75af170-2269-426a-b72a-1d78f5c4091d,230155d8-a5df-4b32-b6e9-46bdbcf526b3,Gas-Niedertemperaturgerät 20-120 kW (Standgerät),nicht eingestuft,n.e.,n.e.,n.e.
Gaswärmepumpe (Luft) 20-70 kW,nicht vorhanden,ae06899a-fd3f-4ea6-9922-139dfd0e6ba9,d343ab95-acd3-4478-8226-62b1554da096,Gaswärmepumpe (Luft) 20-70 kW,nicht eingestuft,n.e.,n.e.,n.e.
"Gehäuse Downlight 18W (CFL, G24D))",nicht vorhanden,1c79a9bf-cd85-41f3-a261-1577cd08a187,0408350a-5473-4d6b-bba9-c6669071e4b7,"Gehäuse Downlight 18W (CFL, G24D))",nicht eingestuft,n.e.,n.e.,n.e.
"Getuftete Teppichfliesen (PA 6), LC3",nicht vorhanden,cc0a42be-7e68-4564-a09d-3c478f82af5b,2fbd1f22-2a0d-4dfb-bfa6-52a861d320f2,"Getuftete Teppichfliesen (PA 6), LC3",Bodenbelag textil 100 % synthetisch,EV-,EV-,0
Gips (CaSO4-Alpha-Halbhydrat),5ce375b1-eb6d-4fc7-84bb-11ae702d3056,93f371be-ae3e-4baf-b607-5e2563a9288f,e6c2de31-b1a6-4c5d-ba5e-df252391321b,Gips (CaSO4-Alpha-Halbhydrat) Grundstoff; keine Einstufung,nicht eingestuft,n.e.,n.e.,n.e.
Gips (CaSO4-Beta-Halbhydrat),ee840270-3055-428a-b38d-e7727426cc35,6d6d0d3f-79a3-461b-8a8c-fa4a78875da0,69a2614b-ef34-4c3c-9221-963676658172,Gips (CaSO4-Beta-Halbhydrat) Grundstoff; keine Einstufung,nicht eingestuft,n.e.,n.e.,n.e.
Gips Kalk Putz,0b0d0210-c31d-4fc7-b11a-9cdfe0a87ed6,a3c3d772-142f-4494-ab5e-c3eb604bbe55,004f3f4e-5bb8-4d9e-a104-6999a9e8ad5b,Gips-Kalk-Putz auf Massivbaustoff,Gipsputz (auf Gipsbaustoff),Dep+,RC-,0.25
Gips Kalk Putz,0b0d0210-c31d-4fc7-b11a-9cdfe0a87ed6,a3c3d772-142f-4494-ab5e-c3eb604bbe55,004f3f4e-5bb8-4d9e-a104-6999a9e8ad5b,Gips-Kalk-Putz auf Gipsbaustoff,Gipsputz (auf Massivbaustoff),Dep+,Dep+,0
"Gipsbauplatte (Feuerschutz, 12,5mm)",da72684f-471c-425b-817d-69f262323f04,9847cae4-4e56-40f3-a6d0-f0a153239669,46c055f0-84a2-423b-ae82-5264886e51ad,Gipskartonplatte (Feuerschutz),Gipsplatte,Dep+,CL+,0.75
"Gipsbauplatte (imprägniert, 12,5mm)",07423e99-8c7c-4e93-8311-dcf7ae85c41d,21034c58-7460-469d-8715-88d1eb90936c,deeb0bda-20fa-412a-b945-1a589638db21,Gipskartonplatte (imprägniert),Gipsplatte,Dep+,CL+,0.75
"Gipsbauplatte (gelocht, 12,5 mm)",207cde6a-73be-4ffb-972d-30d3d8619fc3,ad411530-b146-47bb-85da-47dc47858864,edec09e1-c56e-4655-a094-c9a18e1563ac,Gipskartonplatte (Lochplatte),Gipsplatte,Dep+,CL+,0.75
Gipsfaserplatte (10mm),6d535792-4351-4d7d-97c6-6d2c3624f3e0,ff0f4b64-9735-4402-a053-dd34f2edd422,1b0a3488-9b02-4c98-b421-8c746d350f97,Gipsfaserplatte,Gipsfaser,Dep+,RC-,0.25
Gipsputz (innen),b7fb8ab4-e1e2-4a0b-a9c4-abd6cfa6c7f3,f8e81ff6-1886-482e-9a78-7b1246a8c8f9,7e0c008a-009d-4357-92c1-afb2cec3bc0a,Gipsputz (innen),Gipsputz (auf Gipsbaustoff),Dep+,RC-,0.25
Gipsputz (innen),b7fb8ab4-e1e2-4a0b-a9c4-abd6cfa6c7f3,f8e81ff6-1886-482e-9a78-7b1246a8c8f9,7e0c008a-009d-4357-92c1-afb2cec3bc0a,Gipsputz (innen),Gipsputz (auf Massivbaustoff),Dep+,Dep+,0
Gipsstein (CaSO4-Dihydrat),fbd76e49-0fb1-47e0-abba-903ce1272684,f7ad2652-d3a4-4d01-8f54-e668d1257ed1,d142da3c-dd3c-4b95-b500-9be21295b1d9,Gipsstein (CaSO4-Dihydrat) Grundstoff; keine Einstufung,nicht eingestuft,n.e.,n.e.,n.e.
Gipswandbauplatte (100mm),38a8d707-0c7f-4d91-a3db-9b5b2c9bb147,801d6e4d-4d9a-40e4-aa8f-37b722e62296,7b69e7b4-68dd-49a3-b2dc-ae608b66eece,Gipswandbauplatte (100 mm),Gipsplatte,Dep+,CL+,0.75
Glasbausteine,1f2d6e42-9ffc-421d-990d-555eee4a7529,bf575960-32e9-47f6-833e-cba96c88dbd2,c92470df-8c3d-4586-904e-53801844edf5,Glasbausteine,Glasbaustein,Dep+,SV,0.5
Glasarmierungsgitter,nicht vorhanden,b8a9dd13-100b-40bf-b982-06937c4c5f65,b3bb06b1-fefb-4e57-99ee-aa113000343b,Glasfaser-Armierung,"Bitumenkaltkleber, Glasvlies, Glasfaserarmierung",EB,EB,0
,,,,Glaskeramik-Tafeln (Fassade),Glaskeramik,RC+,RC+,1
Glasvlies,fa976ebb-09ce-4e5b-9976-621d9ac1f12e,49ff9df1-d12d-48f6-a391-0d72d695ffcf,71be07b3-39ff-47ce-b1c9-9c536daeb56e,Glasvlies,"Bitumenkaltkleber, Glasvlies, Glasfaserarmierung",EB,EB,0
Grauguss Bauteil,dbc94e02-b28f-43eb-8133-a161e9b83dfa,02beebbe-d658-461d-9f3f-a80cc3c92a83,b8a652dc-48f0-4bc5-b60c-caec8d576fa4,Grauguss Bauteil,"Stahl - Baustahl (zB Stahlträger,..)",CL+,CL+,1
Gründach extensiv (ohne Geländer),nicht vorhanden,b2edf535-557e-486a-9c31-8ad569c5f2ce,7d3f45ad-d97f-467e-ae88-80e125400622,Gründach extensiv (ohne Geländer),nicht eingestuft,n.e.,n.e.,n.e.
Gründach extensiv mit Edelstahlgeländer,nicht vorhanden,8dd8de23-d86c-4a10-ab8c-4fc3f11688f1,c07b726a-507d-4b18-a766-b54b64186174,Gründach extensiv mit Edelstahlgeländer,nicht eingestuft,n.e.,n.e.,n.e.
Gründach intensiv mit Edelstahlgeländer,nicht vorhanden,a1f68d1e-35b8-4a44-8200-e030a7b23135,4029b66c-591d-4bdf-9842-f34aa74c8f40,Gründach intensiv mit Edelstahlgeländer,nicht eingestuft,n.e.,n.e.,n.e.
Gummi-Bodenbelag mit Schaumstoffbeschichtung EN 1816,7d8cb95b-99c2-4824-97a0-55d2fca5cedd,3da2134f-da14-40fe-9861-84d4ccee9fef,665ebd38-a8b0-4f78-b627-b351cfaa2ae3,Gummi-Bodenbelag mit Schaumstoffbeschichtung EN 1816 (4 mm),Elast BB - Gummibelag,EV-,EV-,0
Gummi-Bodenbelag profiliert EN 12199,f814e7e2-e438-4ea9-80cc-81254d01aba2,df441c17-25cb-4a50-add5-a2928933903d,f5a8b0c6-0b46-4e1c-901b-643197c38ae2,"Gummi-Bodenbelag profiliert EN 12199 (3,55 mm)",Elast BB - Gummibelag,EV-,EV-,0
Gussasphalt,ad94ce55-af1d-4da0-963c-bf263aaa37ee,2d7f6993-c585-4674-b030-348434efeaca,b29d88ed-8621-4ece-9e2f-78af05cb3f0f,Gussasphalt,Asphalt (Hochbau),Dep+,CL+,0.75
Gussasphaltestrich,5bebcf89-2e6b-46ce-b05e-3e02929c8af4,40ef1e7b-920d-4fe4-a8ec-3a540ef93c65,c7381cc7-53b7-427e-9c0b-c9edc4152602,Gussasphaltestrich,Gussasphaltestrich,Dep+,CL+,0.75
Gussteile aus Aluminium,1e8e3c3e-aad0-44ef-977e-d040c4597df0,568f2c96-2d04-43ff-bf03-8e48de9f11ff,d9bfad25-c581-4fe3-b5e3-171ddb59c808,Gussteile aus Aluminium,Alu Guss,CL+,CL+,1
Hackschnitzelkessel < 20 kW,nicht vorhanden,53498e40-4f1d-42cb-8b40-911229d5acef,81dcdea4-4be6-48db-bf89-60f4379492c8,Hackschnitzelkessel < 20 kW,nicht eingestuft,n.e.,n.e.,n.e.
Hackschnitzelkessel 120 - 400 kW,,cc68520e-a68c-4d9c-b343-38575a1ff57c,056d7d67-4742-40a8-9285-6e2414acec1d,Hackschnitzelkessel 120 - 400 kW,nicht eingestuft,n.e.,n.e.,n.e.
Hackschnitzelkessel 20 - 120 kW,,ec371486-0d42-4381-a4bb-95596c31c202,3b3ceacf-bf1d-403d-9f28-4394aeabf4ae,Hackschnitzelkessel 20 - 120 kW,nicht eingestuft,n.e.,n.e.,n.e.
,,,,Hanfdämmplatte (druckbelastet),"DS Pflanzenfaser mit Zusatzstoffen (FSM, Bindemittel)",EV-,EV-,0
,,,,Hanfdämmplatte (nicht druckbelastet),"DS Pflanzenfaser mit Zusatzstoffen (FSM, Bindemittel)",EV-,EV-,0
Hanfvlies,5ef0c519-f5b2-4d45-809d-5f417f90e90b,6505a4d0-df9a-4f7f-8a10-fa4ef36629ad,9a9f76b6-54f0-421e-9f8a-6a5db3a22e1d,Hanfvlies mit Flammschutzmittel,"DS Pflanzenfaser mit Zusatzstoffen (FSM, Bindemittel)",EV-,EV-,0
Harnstoff-Formaldehydharz Ortschaum,08bdbef6-9134-422f-8504-00eeee75d31f,1bf43844-2f42-499e-a177-e65d98cbbf68,fabfbacc-f5ac-4283-8ffa-0d50765ddcfd,Harnstoff-Formaldehydharz Ortschaum,"KSTDämm (Phenol, Melamin,…)",EB,EB,0
,,,,Hartholzfaser-Platten,"Holzfaser, Hartfaser",EV+,EV+,0.5
,,,,HDF-Platte,Holzfaser - HDF/MDF,EV+,RC-,0.25
Heizkörper,nicht vorhanden,190aaf0f-6599-4886-abf0-b067d4083179,9b6db56a-bf13-4f56-a0aa-44c3119502e1,Heizkörper,nicht eingestuft,n.e.,n.e.,n.e.
,,,,"Hochlochziegel (hochporosiert), ohne Mörtel / Kleb.",Ziegel - HLZ hochporosiert,SV,RC-,0.75
,,,,"Hochlochziegel mineralisch gefüllt, ohne Mörtel / Kleb.",Ziegel mineralisch gefüllt,Dep+,RC-,0.75
1.3.02. Mauerziegel (mit Polystyrol gefüllt),nicht vorhanden,a26a956b-1520-4d1b-8cff-9e71fc119994,b822aa09-3cb6-49a3-98f6-a3ebf325a70b,"Hochlochziegel organisch gefüllt, ohne Mörtel / Kleb.",Ziegel EPS gefüllt,Dep-,RC-,0.75
Holz-Blendrahmen,4127e60a-3c42-4076-83f5-5232b4ed642e,ffd4bc0e-1d99-4e84-8710-6dcbf34a98a6,530ff9e2-0189-4783-9546-3bb8f64fbbeb,Holz-Blendrahmen,Holzrahmen,EV+,EV+,0
,,,,Holzdielenboden - unproblem. Beschichtet,Holzdielenboden,RC+,CL-,1
Holzfaserdämmplatte (Nassverfahren),393f494d-8738-4330-aa5e-1652bb29b574,eefa40b3-7156-43a9-b197-b908f204432b,c91aa879-2826-4078-8bfa-baae349549cb,Holzfaserdämmplatte (Nassverfahren),"Holzfaser, Rho<200",EV-,RC-,0.5
,,,,"Holzrahmen Fichte mit Aludeckschale [kg/m² Rahmen] t=0,088 ","Holz-Alu-Rahmen, Regelvermutung HSM",EV+,EV+,0
,,,,"Holzrahmen Fichte mit Aludeckschale [kg/m² Rahmen] t=0,088 ohne HSM","Holz-Alu-Rahmen, Nachweis kein HSM",RC-,RC+,0.75
,,,,"Holzrahmen Lärche mit Aludeckschale [kg/m² Rahmen] t=0,088 ","Holz-Alu-Rahmen, Regelvermutung HSM",EV+,EV+,0
,,,,"Holzrahmen Lärche mit Aludeckschale [kg/m² Rahmen] t=0,088 ohne HSM","Holz-Alu-Rahmen, Nachweis kein HSM",RC-,RC+,0.75
